synset_id,"synset_word",anto_state_id,"anto_state_word"
19768,"दिनौंधा",14297,"रतौंधिया"
21828,"खड़ा",21829,"आड़ा"
21828,"ऊर्ध्व",21829,"अनुप्रस्थ"
21829,"आड़ा",21828,"खड़ा"
21829,"अनुप्रस्थ",21828,"ऊर्ध्व"
22360,"अप्रमत्त",7337,"प्रमत्त"
7337,"प्रमत्त",22360,"अप्रमत्त"
22588,"अनुत्पादित",4483,"उत्पादित"
22881,"विक्रीत",31787,"अविक्रीत"
23234,"अविभाज्य",25293,"विभाज्य"
23234,"अविभाजनीय",25293,"विभाजनीय"
23234,"अभाज्य",25293,"भाज्य"
23513,"वरिष्ठ",4050,"कनिष्ठ"
24546,"अनाबंटित",13651,"आबंटित"
24913,"विवाद्य",24914,"अविवाद्य"
24914,"अविवाद्य",24913,"विवाद्य"
24925,"शोभनीय",24923,"अशोभनीय"
24923,"अशोभनीय",24925,"शोभनीय"
25293,"विभाज्य",23234,"अविभाज्य"
25293,"विभाजनीय",23234,"अविभाजनीय"
25293,"भाज्य",23234,"अभाज्य"
25501,"उपचारित",25502,"अनुपचारित"
25501,"चिकित्सित",25502,"अचिकित्सित"
25502,"अनुपचारित",25501,"उपचारित"
25502,"अचिकित्सित",25501,"चिकित्सित"
26361,"अतरंगित",5079,"तरंगित"
26721,"मुख्य",26722,"गौण"
26722,"गौण",26721,"मुख्य"
27745,"अरक्षित",3702,"रक्षित"
27745,"असंरक्षित",3702,"संरक्षित"
5079,"तरंगित",26361,"अतरंगित"
28892,"अचयनित",5163,"चयनित"
28892,"अचयित",5163,"चयित"
29067,"अमनोगत",9735,"मनोगत"
29129,"मर्दित",29131,"मर्दित"
29129,"मर्द्दित",29131,"अमर्द्दित"
29131,"अमर्दित",29129,"मर्दित"
29131,"अमर्द्दित",29129,"मर्द्दित"
30930,"प्राप्य",16625,"अप्राप्य"
30930,"आप्य",16625,"अनाप्य"
31106,"अलंघनीय",31107,"लंघनीय"
31106,"अलङ्घनीय",31107,"लङ्घनीय"
31107,"लंघनीय",31106,"अलंघनीय"
31107,"लङ्घनीय",31106,"अलङ्घनीय"
31229,"अलीन",2129,"लीन"
31229,"अमग्न",2129,"मग्न"
31229,"अनिमग्न",2129,"निमग्न"
31239,"अलुप्त",2114,"लुप्त"
31267,"अलोहित",1682,"लोहित"
31485,"अवरोहित",33307,"आरोहित"
31787,"अविक्रीत",22881,"विक्रीत"
32130,"अश्रेष्ठ",2360,"श्रेष्ठ"
32130,"अनुत्तम",2360,"उत्तम"
33307,"आरोहित",31485,"अवरोहित"
34799,"असुरक्षित",11688,"सुरक्षित"
35461,"अनुत्पादक",5476,"उत्पादक"
