synset_id,"synset_word",anto_gender_id,"anto_gender_word"
5905,"तमोली",18935,"तमोलिन"
5905,"तंबोली",18935,"तंबोलिन"
5905,"पनवाड़ी",18935,"पनवाड़िन"
5905,"तँबोली",18935,"तँबोलिन"
5905,"तम्बोली",18935,"तम्बोलिन"
5905,"बरई",18935,"बरइन"
5905,"तमोली",18935,"तमोलन"
5905,"तंबोली",18935,"तंबोलन"
5905,"पनवाड़ी",18935,"पनवाड़न"
4407,"युवरानी",4399,"युवराज"
5955,"ताऊ",9001,"ताई"
4596,"परदादी",9385,"परदादा"
6019,"तेंदुआ",19989,"तेंदुई"
2741,"चचेरा भाई",684,"चचेरी बहन"
6110,"दर्जी",9080,"दर्जिन"
6110,"दर्जी",5782,"दर्जिन"
6123,"कुटना",7475,"कुटनी"
6140,"दादा",9097,"दादी"
6140,"बाबा",9097,"ईआ"
6140,"आजा",9097,"आजी"
6140,"पितामह",9097,"पितामही"
6140,"प्रपिता",9097,"प्रमाता"
6205,"वर",6206,"वधू"
6205,"दूल्हा",6206,"दुलहन"
6205,"बन्ना",6206,"बन्नी"
6205,"दुलहा",6206,"दुलहिन"
6206,"दुलहन",6205,"दुलहा"
6206,"दुल्हिन",6205,"दूल्हा"
6206,"वधू",6205,"वर"
6206,"बन्नी",6205,"बन्ना"
6238,"देवर",9158,"देवरानी"
6359,"अभिनेत्री",4192,"अभिनेता"
6359,"अदाकारा",4192,"अदाकार"
6361,"नर्तकी",9235,"नर्तक"
6361,"नृत्यांगना",9235,"नृतक"
6365,"ननद",6366,"ननदोई"
6365,"ननदी",6366,"नंदोई"
6366,"ननदोई",6365,"ननद"
6366,"नंदोई",6365,"ननदी"
6415,"नाती",9220,"नतिनी"
6415,"नाती",9220,"नातिन"
6415,"दोहता",9220,"दोहती"
6415,"दुहता",9220,"दुहोतरी"
6415,"दौहित्र",9220,"दोहित्री"
6416,"पोता",9492,"पोती"
6416,"पौत्र",9492,"पौत्री"
9492,"पोती",6416,"पोता"
9492,"पौत्री",6416,"पौत्र"
9220,"नतिनी",6415,"नाती"
9220,"नातिन",6415,"नाती"
9220,"दुहोतरी",6415,"दुहता"
9220,"दोहती",6415,"दोहता"
9220,"दोहित्री",6415,"दौहित्र"
6420,"नाना",3054,"नानी"
6420,"मातामह",3054,"मातामही"
4265,"लड़का",4409,"लड़की"
4265,"बालक",4409,"बालिका"
4265,"बच्चा",4409,"बच्ची"
4265,"छोकड़ा",4409,"छोकरी"
