"word",sense_count,"pos"
"अंग्रेजिन",2,"noun"
"अंग्रेजियत",2,"noun"
"अंग्रेजी",2,"adjective"
"अंग्रेजी",2,"noun"
"अंग्रेजी भाषा",1,"noun"
"अंग्रेजी हावथार्न",1,"noun"
"अंग्विला",1,"noun"
"अंघड़ा",1,"noun"
"अंघ्रि",1,"noun"
"अंचकैं",1,"adverb"
"अंचल",2,"noun"
"अंचलिक",1,"adjective"
"अंचलीय",1,"adjective"
"अंचव",2,"noun"
"अंचवन",1,"noun"
"अंचवना",1,"verb"
"अंचवाना",1,"verb"
"अंछर",2,"noun"
"अंज",2,"noun"
"अंजन",4,"noun"
"अंजन लगाना",1,"verb"
"अंजनकेशी",1,"noun"
"अंजनरहित",1,"adjective"
"अंजनहारी",2,"noun"
"अंजना",3,"noun"
"अंजनासुत",1,"noun"
"अंजनी",4,"noun"
"अंजनी नंदन",1,"noun"
"अंजनीनंदन",1,"noun"
"अंजबार",1,"noun"
"अंजर-पंजर",1,"noun"
"अंजरपंजर",1,"noun"
"अंजरा",1,"noun"
"अंजल",2,"noun"
"अंजलि",2,"noun"
"अंजलि पात्र",2,"noun"
"अंजलिपुट",1,"noun"
"अंजलिबद्ध",1,"adjective"
"अंजली",2,"noun"
"अंजवाना",1,"verb"
"अंजहा",1,"adjective"
"अंजही",1,"noun"
"अंजाना",1,"verb"
"अंजाम",2,"noun"
"अंजित",3,"adjective"
"अंजीर",2,"noun"
"अंजीर वृक्ष",1,"noun"
"अंजुमन",1,"noun"
"अंजुरी",2,"noun"
"अंजुल",2,"noun"
"अंजुली",2,"noun"
"अंजू",1,"noun"
"अंजॉ",1,"noun"
"अंजॉ जिला",1,"noun"
"अंजोर",1,"noun"
"अंजोरना",1,"verb"
"अंजोरा",1,"adjective"
"अंजोरा",1,"noun"
"अंजोरी",1,"adjective"
"अंझा",1,"noun"
"अंझाझारा",1,"noun"
"अंट-संट",1,"adjective"
"अंटना",1,"verb"
"अंटवाना",1,"verb"
"अंटसंट",1,"adjective"
"अंटा",2,"noun"
"अंटाना",2,"verb"
"अंटार्कटिक",1,"noun"
"अंटार्कटिक जोन",1,"noun"
"अंटिया",2,"noun"
"अंटियाना",1,"verb"
"अंटी",6,"noun"
"अंटीतल",1,"noun"
"अंटीबाज",1,"adjective"
"अंटीबाज़",1,"adjective"
"अंटीमार",1,"noun"
"अंठलाना",2,"verb"
"अंठानबे",1,"adjective"
"अंठानबे",1,"noun"
"अंठानबेवाँ",1,"adjective"
"अंठानवे",1,"adjective"
"अंठानवे",1,"noun"
"अंठानवेवाँ",1,"adjective"
"अंठावन",1,"adjective"
"अंठावन",1,"noun"
"अंठी",4,"noun"
"अंड",6,"noun"
"अंड कोश",1,"noun"
"अंड-बंड",1,"adjective"
"अंड-बंड",2,"noun"
"अंड-बंड बकना",1,"verb"
"अंडकोश",1,"noun"
"अंडकोशयुक्त",1,"adjective"
"अंडकोष",1,"noun"
"अंडग्रंथि",1,"noun"
"अंडज",1,"adjective"
"अंडजा",1,"noun"
"अंडबंड",1,"adjective"
"अंडबंड",1,"noun"
"अंडमान",1,"noun"
"अंडमान जिला",1,"noun"
"अंडमान निकोबार",1,"noun"
"अंडमान निकोबार द्वीप समूह",1,"noun"
"अंडमानी",1,"adjective"
"अंडमानी",1,"noun"
"अंडरना",1,"verb"
"अंडरवर्ल्ड",1,"noun"
"अंडवृत्त",1,"noun"
"अंडवृद्धि",1,"noun"
"अंडा",2,"noun"
"अंडाकार",1,"adjective"
"अंडाकार वृत्त",1,"noun"
"अंडाशय",1,"noun"
"अंडी",3,"noun"
"अंडे जैसा",1,"adjective"
"अंडैल",1,"adjective"
"अंत",8,"noun"
"अंत काल",1,"noun"
"अंत में",1,"adverb"
"अंत होना",1,"verb"
"अंत-क्रिया",1,"noun"
"अंत-लघु",2,"noun"
"अंतः",1,"adjective"
"अंतः शारीरिक भाग",1,"noun"
"अंतः सलिला",1,"noun"
"अंतःकरण",2,"noun"
"अंतःकोप",1,"noun"
"अंतःकोष",1,"noun"
"अंतःक्रिया",2,"noun"
"अंतःग्रहण",2,"noun"
"अंतःपट",3,"noun"
"अंतःपटी",2,"noun"
"अंतःपरिधि",2,"noun"
"अंतःपवित्रा",1,"adjective"
"अंतःपुर",3,"noun"
"अंतःपुर रक्षक",1,"noun"
"अंतःपुरप्रचार",1,"noun"
"अंतःपुरिक",1,"noun"
"अंतःपूजा",2,"noun"
"अंतःप्रज्ञ",1,"noun"
"अंतःप्रज्ञा",1,"noun"
"अंतःशरीर",1,"noun"
"अंतःशल्य",1,"adjective"
"अंतःशुद्धि",1,"noun"
"अंतःसंज्ञा",2,"noun"
"अंतःसत्वा",1,"adjective"
"अंतःसत्वा",3,"noun"
"अंतःसार",2,"adjective"
"अंतःसार",3,"noun"
"अंतःसारवान",1,"adjective"
"अंतःसुख",1,"noun"
"अंतःस्थ",1,"adjective"
"अंतःस्रावी ग्रंथि",1,"noun"
"अंतःस्रावी ग्रन्थि",1,"noun"
"अंतःस्रावी तंत्र",1,"noun"
"अंतःस्रावी-तंत्र",1,"noun"
"अंतःस्रावीतंत्र",1,"noun"
"अंतःस्वेद",1,"noun"
"अंतकारी",1,"adjective"
"अंतकाल",1,"noun"
"अंतक्रिया",1,"noun"
"अंततः",1,"adverb"
"अंततोगत्वा",2,"adverb"
"अंतर",6,"noun"
"अंतर करना",1,"verb"
"अंतरंग",2,"adjective"
"अंतरंग",1,"noun"
"अंतरंग सचिव",1,"noun"
"अंतरंगता",1,"noun"
"अंतरंगी",1,"adjective"
"अंतरज्ञ",1,"adjective"
"अंतरण",3,"noun"
"अंतरराष्ट्रीय",1,"adjective"
"अंतरराष्ट्रीय क्रिकेट परिषद",1,"noun"
"अंतरराष्ट्रीय श्रम संगठन",1,"noun"
"अंतरराष्ट्रीय श्रम-संगठन",1,"noun"
"अंतरराष्ट्रीय सीमा",1,"noun"
"अंतरराष्ट्रीय सीमांत क्षेत्र",1,"noun"
"अंतरा",2,"adjective"
"अंतरा",1,"noun"
"अंतरात्मा",1,"noun"
"अंतरानुभूति",1,"noun"
"अंतराभिमुखी",1,"adjective"
"अंतराल",1,"noun"
"अंतरावासी",1,"adjective"
"अंतरिंद्रिय",1,"noun"
"अंतरिक",1,"noun"
"अंतरिक्ष",2,"noun"
"अंतरिक्ष केंद्र",1,"noun"
"अंतरिक्ष केन्द्र",1,"noun"
"अंतरिक्ष यात्री",1,"noun"
"अंतरिक्ष यान",1,"noun"
"अंतरिक्ष विज्ञान",1,"noun"
"अंतरिक्ष स्टेशन",1,"noun"
"अंतरिक्ष-यात्री",1,"noun"
"अंतरिक्ष-विज्ञान",1,"noun"
"अंतरिक्षयान",1,"noun"
"अंतरिक्षविज्ञान",1,"noun"
"अंतरिक्षसत्",1,"adjective"
"अंतरिक्षसत्",2,"noun"
"अंतरित",4,"adjective"
"अंतरितक",1,"noun"
"अंतरिती",1,"noun"
"अंतरिम",1,"adjective"
"अंतरी",1,"noun"
"अंतरीक",1,"noun"
"अंतरीप",2,"noun"
"अंतरीय",1,"adjective"
"अंतरीय",1,"noun"
"अंतरीय वस्त्र",1,"noun"
"अंतरौटा",1,"noun"
"अंतर्गत",1,"adjective"
"अंतर्गतक",1,"noun"
"अंतर्गति",1,"noun"
"अंतर्गांधार",1,"noun"
"अंतर्ग्रह",1,"noun"
"अंतर्ग्रहण",2,"noun"
"अंतर्घट",1,"noun"
"अंतर्चितवन",1,"noun"
"अंतर्जातीय",2,"adjective"
"अंतर्जानु",1,"adverb"
"अंतर्ज्ञान",1,"noun"
"अंतर्ज्योति",1,"noun"
"अंतर्दर्शी",1,"adjective"
"अंतर्दशा",1,"noun"
"अंतर्दशाह",1,"noun"
"अंतर्दिशा",1,"noun"
"अंतर्दृष्टा",1,"adjective"
"अंतर्दृष्टि",1,"noun"
"अंतर्देशी",1,"noun"
"अंतर्देशीय",1,"adjective"
"अंतर्देशीय",1,"noun"
"अंतर्द्धान",1,"noun"
"अंतर्द्वार",1,"noun"
"अंतर्धान",1,"noun"
"अंतर्धारा",2,"noun"
"अंतर्ध्यान",1,"noun"
"अंतर्निविष्ट",1,"adjective"
"अंतर्निष्ठ",1,"adjective"
"अंतर्निहित",1,"adjective"
"अंतर्निहित अर्थ",1,"noun"
"अंतर्निहित भाव",1,"noun"
"अंतर्पट",3,"noun"
"अंतर्प्रदेश स्तरीय",1,"adjective"
"अंतर्प्रदेशीय",1,"adjective"
"अंतर्प्रांतीय",1,"adjective"
"अंतर्बोध",1,"noun"
"अंतर्भाग",1,"noun"
"अंतर्भाव",6,"noun"
"अंतर्भावना",1,"noun"
"अंतर्भावित",1,"adjective"
"अंतर्भूत",1,"adjective"
"अंतर्भूमि",1,"noun"
"अंतर्भौम",1,"adjective"
"अंतर्मन",1,"noun"
"अंतर्मनस्क",1,"adjective"
"अंतर्मना",3,"adjective"
"अंतर्मल",2,"noun"
"अंतर्मुख",1,"adjective"
"अंतर्मुख",2,"noun"
"अंतर्मुखी",1,"adjective"
"अंतर्मृत",1,"noun"
"अंतर्यामी",1,"adjective"
"अंतर्यामी",1,"noun"
"अंतर्योग",1,"noun"
"अंतर्राज्यिक",1,"adjective"
"अंतर्राज्यीय",1,"adjective"
"अंतर्राष्ट्रीय",1,"adjective"
"अंतर्राष्ट्रीय क्रिकेट परिषद",1,"noun"
"अंतर्राष्ट्रीय पत्र",1,"noun"
"अंतर्राष्ट्रीय सीमा",1,"noun"
